customer_id,segment_name,recency,frequency,monetary,ticket_count_90d,sessions_30d,campaign_clicks_30d
CUST00001,At-Risk,107,1,362.73,0,1,0
CUST00002,Loyal Customers,40,1,581.0,1,8,0
CUST00003,At-Risk,171,1,649.98,0,1,0
CUST00004,At-Risk,131,1,1604.04,0,1,0
CUST00005,Loyal Customers,38,3,1781.9,0,18,1
CUST00006,High-Value Unhappy,51,4,2989.58,2,2,0
CUST00007,Loyal Customers,3,1,719.33,0,11,3
CUST00008,Loyal Customers,47,3,2449.11,0,2,0
CUST00009,Discount-Sensitive,31,1,376.85,0,11,0
CUST00010,Loyal Customers,9,1,636.8,0,13,0
CUST00011,Loyal Customers,1,1,508.08,0,10,0
CUST00012,Loyal Customers,50,1,978.88,0,3,0
CUST00013,Loyal Customers,61,3,1754.44,0,4,0
CUST00014,Loyal Customers,51,2,1382.3899999999999,0,11,0
CUST00015,Loyal Customers,35,2,1523.1399999999999,0,6,0
CUST00016,Dormant,215,0,0.0,0,2,1
CUST00017,Dormant,286,0,0.0,0,4,4
CUST00018,Discount-Sensitive,111,1,329.21,0,3,2
CUST00019,Loyal Customers,9,2,1598.93,0,5,1
CUST00020,Dormant,368,0,0.0,0,0,0
CUST00021,Loyal Customers,77,2,1059.3,1,3,0
CUST00022,Loyal Customers,29,1,454.06,0,10,1
CUST00023,Loyal Customers,21,1,400.98,0,3,1
CUST00024,Discount-Sensitive,4,1,481.35,0,13,0
CUST00025,Loyal Customers,165,1,517.97,0,11,1
CUST00026,Loyal Customers,72,3,3561.3900000000003,1,14,0
CUST00027,Loyal Customers,70,1,2128.34,1,11,2
CUST00028,At-Risk,83,1,641.83,0,1,0
CUST00029,Loyal Customers,18,3,1382.04,0,1,0
CUST00030,High-Value Unhappy,5,5,2819.98,2,11,0
CUST00031,Loyal Customers,49,1,672.95,0,6,0
CUST00032,Loyal Customers,33,1,694.18,0,12,0
CUST00033,Loyal Customers,12,3,1877.69,1,7,0
CUST00034,Loyal Customers,50,2,1460.21,1,7,2
CUST00035,Loyal Customers,127,1,779.74,0,6,0
CUST00036,Loyal Customers,27,4,1737.33,1,0,0
CUST00037,Discount-Sensitive,102,1,435.83,0,5,0
CUST00038,Loyal Customers,51,3,1955.6100000000001,1,5,0
CUST00039,Loyal Customers,15,2,1173.55,0,6,1
CUST00040,At-Risk,154,1,634.73,0,1,0
CUST00041,Discount-Sensitive,54,1,366.99,0,5,2
CUST00042,High-Value Unhappy,87,5,4306.0,2,3,2
CUST00043,Discount-Sensitive,24,1,363.01,0,3,0
CUST00044,Loyal Customers,72,1,899.51,0,6,2
CUST00045,Loyal Customers,96,1,413.75,0,6,1
CUST00046,Loyal Customers,127,1,489.87,0,7,0
CUST00047,Dormant,204,0,0.0,0,2,1
CUST00048,Loyal Customers,61,4,2450.45,0,12,0
CUST00049,Discount-Sensitive,8,1,380.83,0,4,1
CUST00050,Champions,0,2,2026.54,0,3,1
CUST00051,Dormant,210,0,0.0,0,6,2
CUST00052,Loyal Customers,55,2,1820.53,0,7,0
CUST00053,Loyal Customers,25,3,2063.87,1,9,1
CUST00054,Loyal Customers,6,1,489.85,0,3,0
